"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1881","REQ-LOGIN-005 Invalid password","chromium","2026-05-22","passed","2026-05-22","Swag Labs Login - BDD Style Tests","TC_login.spec.js","",""
"","4730","REQ-LOGIN-002 Blank username","chromium","2026-05-22","passed","2026-05-22","Swag Labs Login - BDD Style Tests","TC_login.spec.js","",""
"","2505","REQ-LOGIN-009 Products page validation","chromium","2026-05-22","passed","2026-05-22","Swag Labs Login - BDD Style Tests","TC_login.spec.js","",""
"","1846","REQ-LOGIN-007 Password masking","chromium","2026-05-22","passed","2026-05-22","Swag Labs Login - BDD Style Tests","TC_login.spec.js","",""
"","1465","REQ-LOGIN-010 Case-sensitive login","chromium","2026-05-22","passed","2026-05-22","Swag Labs Login - BDD Style Tests","TC_login.spec.js","",""
"","1909","REQ-LOGIN-006 Invalid username","chromium","2026-05-22","passed","2026-05-22","Swag Labs Login - BDD Style Tests","TC_login.spec.js","",""
"","5191","REQ-LOGIN-001 @smoke should login successfully with valid credentials","chromium","2026-05-22","passed","2026-05-22","Swag Labs Login - BDD Style Tests","TC_login.spec.js","",""
"","3225","REQ-LOGIN-008 Logout","chromium","2026-05-22","passed","2026-05-22","Swag Labs Login - BDD Style Tests","TC_login.spec.js","",""
"","1826","REQ-LOGIN-003 Blank password","chromium","2026-05-22","passed","2026-05-22","Swag Labs Login - BDD Style Tests","TC_login.spec.js","",""
"","1442","REQ-LOGIN-004 Both fields blank","chromium","2026-05-22","passed","2026-05-22","Swag Labs Login - BDD Style Tests","TC_login.spec.js","",""
